LOCATION,Country,VAR,Variable ,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Cell,Flag Codes,Flags
AUS,Australia,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,37.205,,
AUS,Australia,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,67.995,,
AUS,Australia,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,76.499,,
AUS,Australia,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,87.69,,
AUS,Australia,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,89.591,,
AUS,Australia,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,101.759,,
AUS,Australia,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,105.234,,
AUS,Australia,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,108.523,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AUT,Austria,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,2.556,,
AUT,Austria,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,9.843,,
AUT,Austria,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,21.378,,
AUT,Austria,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,31.872,,
AUT,Austria,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,38.538,,
AUT,Austria,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,41.65,,
AUT,Austria,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,44.366,,
AUT,Austria,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,53.331,,
AUT,Austria,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,62.177,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
BEL,Belgium,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,4.003,,
BEL,Belgium,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,7.274,,
BEL,Belgium,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,15.626,,
BEL,Belgium,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,28.6,,
BEL,Belgium,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,47.2,,
BEL,Belgium,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,47.769,,
BEL,Belgium,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,55.941,,
BEL,Belgium,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,60.821,,
BEL,Belgium,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,70.502,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CAN,Canada,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,26.681,,
CAN,Canada,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,34.944,,
CAN,Canada,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,41.355,,
CAN,Canada,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,47.395,,
CAN,Canada,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,49.686,,
CAN,Canada,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,56.377,,
CAN,Canada,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,63.289,,
CAN,Canada,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,65.942,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CHL,Chile,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,2.241,,
CHL,Chile,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,4.465,,
CHL,Chile,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,12.131,,
CHL,Chile,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,21.514,,
CHL,Chile,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,30.671,,
CHL,Chile,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,46.013,,
CHL,Chile,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,52.781,,
CHL,Chile,BBW-P100-STAN,Data and voice mobile broadband subscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,66.652,,
