LOCATION,Country,VARIABLE,Variable,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,GDP,Flag Codes,Flags
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2000,2000,USD,US Dollar,0,Units,2015,2015,44903.94374,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2001,2001,USD,US Dollar,0,Units,2015,2015,46576.46049,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2002,2002,USD,US Dollar,0,Units,2015,2015,48495.37121,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2003,2003,USD,US Dollar,0,Units,2015,2015,49126.51933,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2004,2004,USD,US Dollar,0,Units,2015,2015,51481.41904,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2005,2005,USD,US Dollar,0,Units,2015,2015,53193.41325,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2006,2006,USD,US Dollar,0,Units,2015,2015,54442.45763,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2007,2007,USD,US Dollar,0,Units,2015,2015,55608.73879,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2008,2008,USD,US Dollar,0,Units,2015,2015,52025.94932,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2009,2009,USD,US Dollar,0,Units,2015,2015,48927.24509,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2010,2010,USD,US Dollar,0,Units,2015,2015,49621.11448,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2011,2011,USD,US Dollar,0,Units,2015,2015,51235.25405,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2012,2012,USD,US Dollar,0,Units,2015,2015,51123.08701,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2013,2013,USD,US Dollar,0,Units,2015,2015,51553.59277,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2014,2014,USD,US Dollar,0,Units,2015,2015,55674.94441,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2015,2015,USD,US Dollar,0,Units,2015,2015,68960.54766,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2016,2016,USD,US Dollar,0,Units,2015,2015,71545.0173,,
IRL,Ireland,GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2017,2017,USD,US Dollar,0,Units,2015,2015,75845.04637,,
CHN,China (People's Republic of),GDPVD_CAP,"Gross domestic product per capita, volume in USD, at constant purchasing power parities",A,Annual,2000,2000,USD,US Dollar,0,Units,2015,2015,3905.007777,,
