CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Value,Flag Codes,Flags
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2000,2000,107148,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2001,2001,127877,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2002,2002,119080,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2003,2003,123411,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2004,2004,146441,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2005,2005,161734,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2006,2006,176205,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2007,2007,189490,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2008,2008,203874,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2009,2009,219400,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2010,2010,202212,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2011,2011,206362,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2012,2012,235993,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2013,2013,244849,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2014,2014,233908,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2015,2015,223654,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUS,Australia,2016,2016,218488,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2000,2000,65954,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2001,2001,74786,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2002,2002,86144,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2003,2003,93341,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2004,2004,104246,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2005,2005,97995,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2006,2006,82899,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2007,2007,91546,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2008,2008,94368,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2009,2009,91660,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2010,2010,96896,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2011,2011,109921,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2012,2012,125605,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2013,2013,135228,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2014,2014,154260,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2015,2015,198658,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,AUT,Austria,2016,2016,158746,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2000,2000,57295,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2001,2001,65974,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2002,2002,70230,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2003,2003,68800,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2004,2004,72446,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2005,2005,77411,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2006,2006,83433,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2007,2007,93387,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2008,2008,106012,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2009,2009,102714,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2010,2010,113582,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2011,2011,117948,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2012,2012,128948,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2013,2013,117595,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2014,2014,106345,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2015,2015,128762,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,BEL,Belgium,2016,2016,103187,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2000,2000,227455,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2001,2001,250640,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2002,2002,228919,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2003,2003,221349,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2004,2004,235822,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2005,2005,262244,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2006,2006,251641,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2007,2007,236751,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2008,2008,247242,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2009,2009,252170,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2010,2010,280686,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2011,2011,248701,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2012,2012,257763,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2013,2013,259034,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2014,2014,260283,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2015,2015,271808,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CAN,Canada,2016,2016,296345,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2000,2000,4227,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2001,2001,11323,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2002,2002,43648,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2003,2003,57438,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2004,2004,50804,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2005,2005,58576,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2006,2006,66125,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2007,2007,102511,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2008,2008,76151,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2009,2009,38199,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2010,2010,28046,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2011,2011,20673,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2012,2012,28607,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2013,2013,27843,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2014,2014,38490,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2015,2015,31589,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,CZE,Czech Republic,2016,2016,34808,,
TOT,Total,B11,Inflows of foreign population by nationality,TOT,Total,DNK,Denmark,2000,2000,22766,,
