COUNTRY,Country,VARIABLE,Variable,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,InTourism,Flag Codes,Flags
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,5574600,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,5557500,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,5871600,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,5872200,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2012,2012,NBR,Number,0,Units,,,6167000,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2013,2013,NBR,Number,0,Units,,,6481700,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2014,2014,NBR,Number,0,Units,,,6922300,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2015,2015,NBR,Number,0,Units,,,7449900,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2016,2016,NBR,Number,0,Units,,,8269200,,
AUS,Australia,INB_ARRIVALS_TOTAL,Total international arrivals,2017,2017,NBR,Number,0,Units,,,8815300,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,27370000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,24696000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,25621000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,25065000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2012,2012,NBR,Number,0,Units,,,25318000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2013,2013,NBR,Number,0,Units,,,25144000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2014,2014,NBR,Number,0,Units,,,25557000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2015,2015,NBR,Number,0,Units,,,27555000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2016,2016,NBR,Number,0,Units,,,30142000,,
CAN,Canada,INB_ARRIVALS_TOTAL,Total international arrivals,2017,2017,NBR,Number,0,Units,,,30997000,P,Provisional value
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,26628142,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,23285335,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,21941385,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,22810288,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2012,2012,NBR,Number,0,Units,,,25749657,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2013,2013,NBR,Number,0,Units,,,26331541,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2014,2014,NBR,Number,0,Units,,,27166498,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2015,2015,NBR,Number,0,Units,,,29604028,,
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2016,2016,NBR,Number,0,Units,,,32518778,P,Provisional value
CZE,Czech Republic,INB_ARRIVALS_TOTAL,Total international arrivals,2017,2017,NBR,Number,0,Units,,,34701416,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,25854545,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,25519879,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,25587375,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,25844558,E; B,Estimated value; Break
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2012,2012,NBR,Number,0,Units,,,25865893,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2013,2013,NBR,Number,0,Units,,,25794782,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2014,2014,NBR,Number,0,Units,,,27606965,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2015,2015,NBR,Number,0,Units,,,27763738,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2016,2016,NBR,Number,0,Units,,,28121485,E,Estimated value
DNK,Denmark,INB_ARRIVALS_TOTAL,Total international arrivals,2017,2017,NBR,Number,0,Units,,,29083432,E,Estimated value
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,6072000,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,5695000,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,6182000,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,7260000,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2012,2012,NBR,Number,0,Units,,,7636000,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2015,2015,NBR,Number,0,Units,,,7529000,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2016,2016,NBR,Number,0,Units,,,7705000,,
FIN,Finland,INB_ARRIVALS_TOTAL,Total international arrivals,2017,2017,NBR,Number,0,Units,,,8314000,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,193571000,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,192369000,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,189825709,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,196594694,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2012,2012,NBR,Number,0,Units,,,197522274,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2013,2013,NBR,Number,0,Units,,,204409807,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2014,2014,NBR,Number,0,Units,,,206599139,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2015,2015,NBR,Number,0,Units,,,203302405,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2016,2016,NBR,Number,0,Units,,,203042247,,
FRA,France,INB_ARRIVALS_TOTAL,Total international arrivals,2017,2017,NBR,Number,0,Units,,,207369231,,
GRC,Greece,INB_ARRIVALS_TOTAL,Total international arrivals,2008,2008,NBR,Number,0,Units,,,15938806,,
GRC,Greece,INB_ARRIVALS_TOTAL,Total international arrivals,2009,2009,NBR,Number,0,Units,,,14914537,,
GRC,Greece,INB_ARRIVALS_TOTAL,Total international arrivals,2010,2010,NBR,Number,0,Units,,,15007493,,
GRC,Greece,INB_ARRIVALS_TOTAL,Total international arrivals,2011,2011,NBR,Number,0,Units,,,16427247,,
