LOCATION,Country,VAR,Variable ,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Internet,Flag Codes,Flags
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,24.055,,
,,,,,,,,,,,,,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,25.041,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,25.215,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,25.883,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,26.595,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,27.842,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,28.397,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2015-Q2,,100HAB,Per 100 inhabitants,0,Units,,,28.076,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2015-Q4,,100HAB,Per 100 inhabitants,0,Units,,,28.397,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,30.483,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2016-Q2,,100HAB,Per 100 inhabitants,0,Units,,,30.093,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2016-Q4,,100HAB,Per 100 inhabitants,0,Units,,,30.483,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,32.207,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2017-Q2,,100HAB,Per 100 inhabitants,0,Units,,,31.107,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2017-Q4,,100HAB,Per 100 inhabitants,0,Units,,,32.207,,
AUS,Australia,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2018-Q2,,100HAB,Per 100 inhabitants,0,Units,,,33.166,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,21.499,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2009-Q4,,100HAB,Per 100 inhabitants,0,Units,,,21.499,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,23.187,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010-Q2,,100HAB,Per 100 inhabitants,0,Units,,,22.205,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010-Q4,,100HAB,Per 100 inhabitants,0,Units,,,23.187,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,24.456,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2011-Q2,,100HAB,Per 100 inhabitants,0,Units,,,23.891,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2011-Q4,,100HAB,Per 100 inhabitants,0,Units,,,24.456,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,25.218,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2012-Q2,,100HAB,Per 100 inhabitants,0,Units,,,24.92,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2012-Q4,,100HAB,Per 100 inhabitants,0,Units,,,25.218,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,26.308,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2013-Q2,,100HAB,Per 100 inhabitants,0,Units,,,25.803,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2013-Q4,,100HAB,Per 100 inhabitants,0,Units,,,26.308,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,27.554,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2014-Q2,,100HAB,Per 100 inhabitants,0,Units,,,26.924,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2014-Q4,,100HAB,Per 100 inhabitants,0,Units,,,27.554,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,28.459,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2015-Q2,,100HAB,Per 100 inhabitants,0,Units,,,28.082,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2015-Q4,,100HAB,Per 100 inhabitants,0,Units,,,28.459,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,28.87,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2016-Q2,,100HAB,Per 100 inhabitants,0,Units,,,28.78,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2016-Q4,,100HAB,Per 100 inhabitants,0,Units,,,28.87,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,28.551,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2017-Q2,,100HAB,Per 100 inhabitants,0,Units,,,28.772,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2017-Q4,,100HAB,Per 100 inhabitants,0,Units,,,28.551,,
AUT,Austria,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2018-Q2,,100HAB,Per 100 inhabitants,0,Units,,,28.419,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,29.028,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2009-Q4,,100HAB,Per 100 inhabitants,0,Units,,,29.028,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,30.958,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010-Q2,,100HAB,Per 100 inhabitants,0,Units,,,30.148,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010-Q4,,100HAB,Per 100 inhabitants,0,Units,,,30.958,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,32.234,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2011-Q2,,100HAB,Per 100 inhabitants,0,Units,,,31.657,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2011-Q4,,100HAB,Per 100 inhabitants,0,Units,,,32.234,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,33.358,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2012-Q2,,100HAB,Per 100 inhabitants,0,Units,,,32.742,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2012-Q4,,100HAB,Per 100 inhabitants,0,Units,,,33.358,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,34.417,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2013-Q2,,100HAB,Per 100 inhabitants,0,Units,,,34.051,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2013-Q4,,100HAB,Per 100 inhabitants,0,Units,,,34.417,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,35.878,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2014-Q2,,100HAB,Per 100 inhabitants,0,Units,,,34.651,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2014-Q4,,100HAB,Per 100 inhabitants,0,Units,,,35.878,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,36.671,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2015-Q2,,100HAB,Per 100 inhabitants,0,Units,,,36.369,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2015-Q4,,100HAB,Per 100 inhabitants,0,Units,,,36.671,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,37.807,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2016-Q2,,100HAB,Per 100 inhabitants,0,Units,,,37.362,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2016-Q4,,100HAB,Per 100 inhabitants,0,Units,,,37.807,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,38.585,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2017-Q2,,100HAB,Per 100 inhabitants,0,Units,,,38.246,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2017-Q4,,100HAB,Per 100 inhabitants,0,Units,,,38.585,,
BEL,Belgium,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2018-Q2,,100HAB,Per 100 inhabitants,0,Units,,,38.87,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,30.599,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2009-Q4,,100HAB,Per 100 inhabitants,0,Units,,,30.599,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,31.81,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010-Q2,,100HAB,Per 100 inhabitants,0,Units,,,31.151,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010-Q4,,100HAB,Per 100 inhabitants,0,Units,,,31.81,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2011,2011,100HAB,Per 100 inhabitants,0,Units,,,32.838,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2011-Q2,,100HAB,Per 100 inhabitants,0,Units,,,32.373,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2011-Q4,,100HAB,Per 100 inhabitants,0,Units,,,32.838,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2012,2012,100HAB,Per 100 inhabitants,0,Units,,,33.622,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2012-Q2,,100HAB,Per 100 inhabitants,0,Units,,,33.085,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2012-Q4,,100HAB,Per 100 inhabitants,0,Units,,,33.622,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2013,2013,100HAB,Per 100 inhabitants,0,Units,,,34.389,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2013-Q2,,100HAB,Per 100 inhabitants,0,Units,,,34.126,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2013-Q4,,100HAB,Per 100 inhabitants,0,Units,,,34.389,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2014,2014,100HAB,Per 100 inhabitants,0,Units,,,35.371,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2014-Q2,,100HAB,Per 100 inhabitants,0,Units,,,34.828,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2014-Q4,,100HAB,Per 100 inhabitants,0,Units,,,35.371,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2015,2015,100HAB,Per 100 inhabitants,0,Units,,,36.596,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2015-Q2,,100HAB,Per 100 inhabitants,0,Units,,,35.795,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2015-Q4,,100HAB,Per 100 inhabitants,0,Units,,,36.596,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2016,2016,100HAB,Per 100 inhabitants,0,Units,,,36.913,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2016-Q2,,100HAB,Per 100 inhabitants,0,Units,,,37.118,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2016-Q4,,100HAB,Per 100 inhabitants,0,Units,,,36.913,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2017,2017,100HAB,Per 100 inhabitants,0,Units,,,37.931,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2017-Q2,,100HAB,Per 100 inhabitants,0,Units,,,37.484,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2017-Q4,,100HAB,Per 100 inhabitants,0,Units,,,37.931,,
CAN,Canada,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2018-Q2,,100HAB,Per 100 inhabitants,0,Units,,,38.468,,
CZE,Czech Republic,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2009,2009,100HAB,Per 100 inhabitants,0,Units,,,19.407,,
CZE,Czech Republic,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2009-Q4,,100HAB,Per 100 inhabitants,0,Units,,,19.407,,
CZE,Czech Republic,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010,2010,100HAB,Per 100 inhabitants,0,Units,,,21.507,,
CZE,Czech Republic,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010-Q2,,100HAB,Per 100 inhabitants,0,Units,,,20.189,,
CZE,Czech Republic,BB-P100-TOT,Total fixed broadband suscriptions per 100 inhabitants,2010-Q4,,100HAB,Per 100 inhabitants,0,Units,,,21.507,,
