COUNTRY,Country,VARIABLE,Variable,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,OutTourism,Flag Codes,Flags
AUS,Australia,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,5841300,,
AUS,Australia,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,6226500,,
AUS,Australia,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,7055400,,
AUS,Australia,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,7765900,,
AUS,Australia,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,8206100,,
AUS,Australia,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,8709600,,
AUS,Australia,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,9139200,,
AUS,Australia,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,9420500,,
AUS,Australia,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,9969800,,
AUS,Australia,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,10535300,,
LUX,Luxembourg,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,3542814,,
USA,United States,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,136148470,,
USA,United States,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,130032628,,
USA,United States,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,121574269,,
USA,United States,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,114088644,,
USA,United States,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,116327459,,
USA,United States,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,118438102.5,,
USA,United States,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,121708536.8,,
USA,United States,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,130907227.8,,
USA,United States,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,141526240.5,,
USA,United States,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,148055788.8,,
IND,India,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,10867999,,
IND,India,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,11066072,,
IND,India,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,12988001,,
IND,India,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,13994002,,
IND,India,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,14924755,,
IND,India,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,16626316,,
IND,India,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,18332319,,
IDN,Indonesia,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,4997000,,
IDN,Indonesia,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,5053000,,
IDN,Indonesia,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,6236000,,
IDN,Indonesia,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,6750000,,
IDN,Indonesia,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,7310000,P,Provisional value
FIN,Finland,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,6566000,,
FIN,Finland,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,6693000,,
FIN,Finland,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,7485000,,
FIN,Finland,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,8238000,,
FIN,Finland,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,9980000,B,Break
FIN,Finland,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,9530000,,
FIN,Finland,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,9780000,,
FIN,Finland,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,10020000,,
FIN,Finland,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,10280000,,
FIN,Finland,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,10480000,,
TUR,Turkey,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,4893000,,
TUR,Turkey,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,5561000,,
TUR,Turkey,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,6557000,,
TUR,Turkey,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,6282000,,
TUR,Turkey,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,5803000,,
TUR,Turkey,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,7526000,,
TUR,Turkey,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,7982000,,
TUR,Turkey,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,8751000,,
TUR,Turkey,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,7892000,,
TUR,Turkey,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,8887000,,
CHN,China (People's Republic of),OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,45844400,,
CHN,China (People's Republic of),OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,47656000,,
CHN,China (People's Republic of),OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,57386500,,
CHN,China (People's Republic of),OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,70250000,,
CHN,China (People's Republic of),OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,83182700,,
LVA,Latvia,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,3524000,,
LVA,Latvia,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,3058000,,
LVA,Latvia,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,3090000,,
LVA,Latvia,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,3257000,,
LVA,Latvia,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,2265000,B,Break
LVA,Latvia,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,1776648,,
LVA,Latvia,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,1846440,,
LVA,Latvia,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,1719273,,
LVA,Latvia,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,1938524,,
LVA,Latvia,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,2055608,,
ROU,Romania,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,9979448,,
ROU,Romania,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,10989424,,
ROU,Romania,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,9873820,,
ROU,Romania,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,10608312,,
ROU,Romania,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,11307472,,
ROU,Romania,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,11152558,,
ROU,Romania,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,9894847,,
IRL,Ireland,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,7877000,,
IRL,Ireland,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,7021000,,
IRL,Ireland,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,6660000,,
IRL,Ireland,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,6293000,,
IRL,Ireland,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,6325000,,
IRL,Ireland,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,6323000,,
IRL,Ireland,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,6515000,,
IRL,Ireland,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,6965000,,
IRL,Ireland,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,7405000,,
IRL,Ireland,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,7939000,,
FRA,France,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,30960000,,
FRA,France,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,30646000,,
FRA,France,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,29973000,,
FRA,France,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,31153000,,
FRA,France,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,29641782,,
FRA,France,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,30456513,,
FRA,France,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,31941524,,
FRA,France,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,30607599,,
FRA,France,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,29635945.13,,
FRA,France,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,44264516.42,,
CZE,Czech Republic,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,12713013.28,,
CZE,Czech Republic,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,12336628.52,,
CZE,Czech Republic,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,11890236.65,,
CZE,Czech Republic,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,10892744.28,,
CZE,Czech Republic,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,10989742.95,,
CZE,Czech Republic,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,10304716.41,,
CZE,Czech Republic,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,10141182.96,,
CZE,Czech Republic,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,10382701.29,,
CZE,Czech Republic,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,10826892.5,P,Provisional value
CZE,Czech Republic,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,11526305.79,E,Estimated value
HUN,Hungary,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,8808000,,
HUN,Hungary,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,8041000,,
HUN,Hungary,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,7616000,,
HUN,Hungary,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,8043000,,
HUN,Hungary,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,7737000,,
HUN,Hungary,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,8191000,,
HUN,Hungary,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,8933000,,
HUN,Hungary,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,9705000,,
HUN,Hungary,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,10168000,,
HUN,Hungary,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,10874000,,
KOR,Korea,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,11996000,,
KOR,Korea,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,9494000,,
KOR,Korea,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,12488000,,
KOR,Korea,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,12694000,,
KOR,Korea,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,13737000,,
KOR,Korea,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,14846000,,
KOR,Korea,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,16081000,,
KOR,Korea,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,19310000,,
KOR,Korea,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,22383000,,
KOR,Korea,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,26496000,,
NZL,New Zealand,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,1965480,,
NZL,New Zealand,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,1916663,,
NZL,New Zealand,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,2026864,,
NZL,New Zealand,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,2096342,,
NZL,New Zealand,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,2171720,,
NZL,New Zealand,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,2197400,,
NZL,New Zealand,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,2275880,,
NZL,New Zealand,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,2411560,,
NZL,New Zealand,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,2611020,,
NZL,New Zealand,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,2852740,,
SVK,Slovak Republic,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,6499987,,
SVK,Slovak Republic,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,5821478,,
SVK,Slovak Republic,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,4949237,,
SVK,Slovak Republic,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,6119232,,
SVK,Slovak Republic,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,4568336,,
SVK,Slovak Republic,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,4468975,,
SVK,Slovak Republic,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,4737848,,
SVK,Slovak Republic,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,5194081,,
SVK,Slovak Republic,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,6335580,,
GBR,United Kingdom,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,69011000,,
GBR,United Kingdom,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,58614000,,
GBR,United Kingdom,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,55562000,,
GBR,United Kingdom,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,56836000,,
GBR,United Kingdom,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,56538000,,
GBR,United Kingdom,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,57792474.46,,
GBR,United Kingdom,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,60081882.65,,
GBR,United Kingdom,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,65719910.89,,
GBR,United Kingdom,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,70814780.43,,
GBR,United Kingdom,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,72772095.91,,
HRV,Croatia,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,4823000,,
HRV,Croatia,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,5526000,,
HRV,Croatia,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,4326000,,
HRV,Croatia,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,5444000,,
HRV,Croatia,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,4638000,,
HRV,Croatia,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,4355000,,
HRV,Croatia,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,2581000,,
HRV,Croatia,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,2597000,,
EST,Estonia,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,4193000,,
EST,Estonia,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,3549000,,
EST,Estonia,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,3510000,,
EST,Estonia,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,3806000,,
EST,Estonia,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,3846000,,
EST,Estonia,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,3706000,,
EST,Estonia,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,3841000,,
EST,Estonia,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,3596252,,
EST,Estonia,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,3564163,,
EST,Estonia,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,3605597,,
LTU,Lithuania,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,3847000,,
LTU,Lithuania,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,3639000,,
LTU,Lithuania,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,4311000,,
LTU,Lithuania,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,4021000,,
LTU,Lithuania,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,4108000,,
LTU,Lithuania,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,4227800,,
LTU,Lithuania,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,4291200,,
LTU,Lithuania,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,3981100,,
LTU,Lithuania,OBND_DEP_TOTAL,Total international departures,2016,2016,NBR,Number,0,Units,,,4143300,,
LTU,Lithuania,OBND_DEP_TOTAL,Total international departures,2017,2017,NBR,Number,0,Units,,,4294000,,
SVN,Slovenia,OBND_DEP_TOTAL,Total international departures,2008,2008,NBR,Number,0,Units,,,5490000,,
SVN,Slovenia,OBND_DEP_TOTAL,Total international departures,2009,2009,NBR,Number,0,Units,,,5575000,,
SVN,Slovenia,OBND_DEP_TOTAL,Total international departures,2010,2010,NBR,Number,0,Units,,,5340000,,
SVN,Slovenia,OBND_DEP_TOTAL,Total international departures,2011,2011,NBR,Number,0,Units,,,5073000,,
SVN,Slovenia,OBND_DEP_TOTAL,Total international departures,2012,2012,NBR,Number,0,Units,,,4465000,,
SVN,Slovenia,OBND_DEP_TOTAL,Total international departures,2013,2013,NBR,Number,0,Units,,,4440000,,
SVN,Slovenia,OBND_DEP_TOTAL,Total international departures,2014,2014,NBR,Number,0,Units,,,4672000,,
SVN,Slovenia,OBND_DEP_TOTAL,Total international departures,2015,2015,NBR,Number,0,Units,,,4909000,,
