TL,Territory Level and Typology,REG_ID,Region,VAR,Indicator,SEX,Gender,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Urban,Flag Codes,Flags
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2001,2001,,,0,Units,,,68.55,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2002,2002,,,0,Units,,,68.64,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2003,2003,,,0,Units,,,68.73,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2004,2004,,,0,Units,,,68.81,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2005,2005,,,0,Units,,,68.87,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2006,2006,,,0,Units,,,68.96,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2007,2007,,,0,Units,,,69.14,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2008,2008,,,0,Units,,,69.3,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2009,2009,,,0,Units,,,69.47,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2010,2010,,,0,Units,,,69.57,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2011,2011,,,0,Units,,,69.69,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2012,2012,,,0,Units,,,69.86,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2013,2013,,,0,Units,,,70.05,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2014,2014,,,0,Units,,,70.27,,
1_PU,  Country - predominantly urban regions,AUS,Australia,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2015,2015,,,0,Units,,,70.51,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2000,2000,,,0,Units,,,29.31,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2001,2001,,,0,Units,,,29.42,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2002,2002,,,0,Units,,,29.55,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2003,2003,,,0,Units,,,29.75,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2004,2004,,,0,Units,,,29.89,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2005,2005,,,0,Units,,,30.05,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2006,2006,,,0,Units,,,30.21,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2007,2007,,,0,Units,,,30.3,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2008,2008,,,0,Units,,,30.41,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2009,2009,,,0,Units,,,30.49,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2010,2010,,,0,Units,,,30.61,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2011,2011,,,0,Units,,,30.74,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2012,2012,,,0,Units,,,30.87,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2013,2013,,,0,Units,,,31.08,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2014,2014,,,0,Units,,,31.28,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2015,2015,,,0,Units,,,31.48,,
1_PU,  Country - predominantly urban regions,AUT,Austria,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2016,2016,,,0,Units,,,31.72,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2000,2000,,,0,Units,,,54.3,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2001,2001,,,0,Units,,,54.23,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2002,2002,,,0,Units,,,54.25,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2003,2003,,,0,Units,,,54.26,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2004,2004,,,0,Units,,,52.85,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2005,2005,,,0,Units,,,52.82,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2006,2006,,,0,Units,,,52.83,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2007,2007,,,0,Units,,,52.82,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2008,2008,,,0,Units,,,52.85,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2009,2009,,,0,Units,,,52.89,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2010,2010,,,0,Units,,,52.94,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2011,2011,,,0,Units,,,53.13,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2012,2012,,,0,Units,,,53.22,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2013,2013,,,0,Units,,,53.28,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2014,2014,,,0,Units,,,53.26,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2015,2015,,,0,Units,,,53.29,,
1_PU,  Country - predominantly urban regions,BEL,Belgium,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2016,2016,,,0,Units,,,53.32,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2000,2000,,,0,Units,,,53.71,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2001,2001,,,0,Units,,,54.05,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2002,2002,,,0,Units,,,54.34,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2003,2003,,,0,Units,,,54.48,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2004,2004,,,0,Units,,,54.61,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2005,2005,,,0,Units,,,54.78,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2006,2006,,,0,Units,,,54.99,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2007,2007,,,0,Units,,,55.15,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2008,2008,,,0,Units,,,55.33,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2009,2009,,,0,Units,,,55.56,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2010,2010,,,0,Units,,,55.74,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2011,2011,,,0,Units,,,55.92,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2012,2012,,,0,Units,,,56.14,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2013,2013,,,0,Units,,,56.38,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2014,2014,,,0,Units,,,56.6,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2015,2015,,,0,Units,,,56.75,,
1_PU,  Country - predominantly urban regions,CAN,Canada,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2016,2016,,,0,Units,,,56.92,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2000,2000,,,0,Units,,,34.77,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2001,2001,,,0,Units,,,34.8,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2002,2002,,,0,Units,,,34.83,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2003,2003,,,0,Units,,,34.86,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2004,2004,,,0,Units,,,34.89,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2005,2005,,,0,Units,,,34.92,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2006,2006,,,0,Units,,,34.95,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2007,2007,,,0,Units,,,34.95,,
1_PU,  Country - predominantly urban regions,FRA,France,POP_TOT_TYPO_SH,    Share of national population in predominantly rural / intermediate / urban regions,T,Total,ALL,All regions,2008,2008,,,0,Units,,,34.94,,
